#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SURFACE POINT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide spectral content at x/c=0.45 (Kulite 7)
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     EXAMPLE: 007.02
#
# 
#       NOMENCLATURE:
#          ITERATION:   Iteration; please retain the actual solution iteration and do not zero it to the start of the time-averaging window, unlike TIME_STEP and CTU
#          TIME_STEP:   Dimensional time step (sec);                  set TIME_STEP=0 at the start of the time-averaging window
#                CTU:   Convective Time Unit (TIME_STEP * Uinf/Cref); set CTU=0       at the start of the time-averaging window
#            CP_INST:   Instantaneous Coefficient of Pressure                at x/c=0.45 (Kulite 7)
#            CF_INST:   Instantaneous Coefficient of Skin Friction Magnitude at x/c=0.45 (Kulite 7)
#            CL_INST:   Instantaneous Coefficient of Lift            (total) (L/(0.5*rho_inf*U_inf^2*A)  )              Provided to eight decimal points
#            CD_INST:   Instantaneous Coefficient of Drag            (total) (D/(0.5*rho_inf*U_inf^2*A)  )              Provided to nine  decimal points
#            CM_INST:   Instantaneous Coefficient of Pitching Moment (total) (M/(0.5*rho_inf*U_inf^2*A*c)) (+ nose-up)  Provided to eight decimal points
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. Provide data starting at time-averaging portion, omitting initial transients/setup
#                       2. All numerical data fields can be free-formatted.
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, alpha, solution method, etc per form
#                       5. Fill fields with value of -999 for data that are not available
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "007.05"
# Column     1            2            3      4          5          6          7          8
VARIABLES = "ITERATION"  "TIME_STEP"  "CTU"  "CP_INST"  "CF_INST"  "CL_INST"  "CD_INST"  "CM_INST"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "007"
DATASETAUXDATA SubmissionDate  = "January 31th, 2025"
DATASETAUXDATA Name            = "Andrea Sansica"
DATASETAUXDATA Email           = "sansica.andrea@jaxa.jp"
DATASETAUXDATA Institution     = "JAXA"
DATASETAUXDATA SolverName      = "FaSTAR"
DATASETAUXDATA BasicAlgorithm  = "URANS"
DATASETAUXDATA TurbulenceModel = "SA-noft2-R"
DATASETAUXDATA GridId          = "Custom"
DATASETAUXDATA Notes           = "-999"


ZONE T= "007.08 - Alpha 3.90 - Grid Level 2"
AUXDATA GridLevel       = "2"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3000000"
AUXDATA Alpha           = "3.90"
AUXDATA CLtotal         = "9.684268e-01"
AUXDATA Deltat          = "6.97009E-07 sec"
AUXDATA CtuStart        = "365"
AUXDATA CtuAve          = "146"
AUXDATA GridFileName    = "JAXA Custom Grids"
1 -3.485044e-01 -3.650000e+02 -1.384760e-03 6.764881e-06 2.431160e-03 1.528040e-03 -9.692950e-04
101 -3.484347e-01 -3.649270e+02 -1.765270e-01 1.049537e-04 3.044750e-01 2.080570e-01 -9.703740e-02
201 -3.483650e-01 -3.648540e+02 -1.608330e-01 2.047839e-04 2.593360e-01 1.469570e-01 -7.655560e-02
301 -3.482953e-01 -3.647810e+02 -1.183510e-01 3.491109e-04 2.378370e-01 1.188610e-01 -6.505700e-02
401 -3.482256e-01 -3.647080e+02 -9.954370e-02 1.732278e-04 2.334310e-01 1.036000e-01 -6.247910e-02
501 -3.481559e-01 -3.646350e+02 -2.268360e-01 2.804372e-04 2.331400e-01 9.476480e-02 -6.097070e-02
601 -3.480862e-01 -3.645620e+02 -3.378180e-01 2.371405e-04 2.287560e-01 9.046250e-02 -5.587130e-02
701 -3.480165e-01 -3.644890e+02 -3.879720e-01 3.261460e-04 2.033590e-01 8.613540e-02 -3.520870e-02
801 -3.479468e-01 -3.644160e+02 -3.931690e-01 5.301426e-04 2.178580e-01 8.696210e-02 -4.144490e-02
901 -3.478771e-01 -3.643430e+02 -3.413590e-01 8.525821e-04 2.001040e-01 8.051120e-02 -2.504180e-02
1001 -3.478074e-01 -3.642700e+02 -2.746010e-01 1.373161e-03 2.059560e-01 7.836670e-02 -2.634980e-02
1101 -3.477377e-01 -3.641970e+02 -3.561920e-01 1.266407e-03 2.033240e-01 7.445420e-02 -2.195680e-02
1201 -3.476680e-01 -3.641240e+02 -3.606850e-01 1.834333e-03 1.992940e-01 7.017480e-02 -1.740070e-02
1301 -3.475983e-01 -3.640510e+02 -3.792970e-01 2.510669e-03 1.940730e-01 6.516630e-02 -1.238750e-02
1401 -3.475286e-01 -3.639780e+02 -4.096010e-01 3.088571e-03 1.867060e-01 5.919780e-02 -5.763150e-03
1501 -3.474589e-01 -3.639050e+02 -4.365970e-01 3.367472e-03 1.787900e-01 5.292000e-02 1.412140e-03
1601 -3.473892e-01 -3.638320e+02 -4.588390e-01 3.509247e-03 1.727510e-01 4.718570e-02 7.313390e-03
1701 -3.473195e-01 -3.637590e+02 -4.776020e-01 3.591120e-03 1.700580e-01 4.273350e-02 1.074090e-02
1801 -3.472498e-01 -3.636860e+02 -4.938450e-01 3.644492e-03 1.712770e-01 3.960290e-02 1.141410e-02
1901 -3.471801e-01 -3.636130e+02 -5.088050e-01 3.681513e-03 1.779820e-01 3.815780e-02 8.211310e-03
2001 -3.471104e-01 -3.635400e+02 -5.222320e-01 3.703874e-03 1.895820e-01 3.785790e-02 1.689390e-03
2101 -3.470407e-01 -3.634671e+02 -5.340320e-01 3.718774e-03 2.032550e-01 3.817520e-02 -5.982610e-03
2201 -3.469710e-01 -3.633941e+02 -5.445010e-01 3.726825e-03 2.161350e-01 3.815640e-02 -1.262490e-02
2301 -3.469013e-01 -3.633211e+02 -5.538520e-01 3.726265e-03 2.253160e-01 3.774570e-02 -1.617130e-02
2401 -3.468315e-01 -3.632479e+02 -5.618350e-01 3.720685e-03 2.343710e-01 3.719670e-02 -1.952200e-02
2501 -3.467618e-01 -3.631749e+02 -5.686500e-01 3.710755e-03 2.444660e-01 3.664950e-02 -2.360040e-02
2601 -3.466921e-01 -3.631020e+02 -5.744680e-01 3.695574e-03 2.546260e-01 3.621780e-02 -2.757020e-02
2701 -3.466224e-01 -3.630290e+02 -5.789160e-01 3.676504e-03 2.652660e-01 3.593280e-02 -3.165840e-02
2801 -3.465527e-01 -3.629560e+02 -5.822770e-01 3.651653e-03 2.767090e-01 3.580040e-02 -3.610610e-02
2901 -3.464830e-01 -3.628830e+02 -5.844130e-01 3.623962e-03 2.890550e-01 3.587250e-02 -4.100140e-02
3001 -3.464133e-01 -3.628100e+02 -5.855330e-01 3.593401e-03 3.022380e-01 3.608820e-02 -4.631090e-02
3101 -3.463436e-01 -3.627370e+02 -5.857460e-01 3.562250e-03 3.160780e-01 3.643250e-02 -5.192550e-02
