TITLE     = "Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Walls.cgns | Translation of CGNS file Wal"
VARIABLES = "X" "Y" "Z" "X/C" "CP_AVG" "CP_RMS" "CF_AVG" "CF_RMS"
DATASETAUXDATA Alpha="3.5"
DATASETAUXDATA BasicAlgorithm="RANS"
DATASETAUXDATA CLtotal="-999"
DATASETAUXDATA Common.DensityVar="4"
DATASETAUXDATA Common.PressureVar="8"
DATASETAUXDATA Common.UVar="5"
DATASETAUXDATA Common.VectorVarsAreVelocity="FALSE"
DATASETAUXDATA Common.VVar="6"
DATASETAUXDATA Common.WVar="7"
DATASETAUXDATA CtuAvg="-999"
DATASETAUXDATA CtuStart="-999"
DATASETAUXDATA Dt="1e-6"
DATASETAUXDATA Email="fulvio.sartor@onera.fr"
DATASETAUXDATA Eta="-999"
DATASETAUXDATA GridFileName="-999"
DATASETAUXDATA GridId="HeldenMesh Unstructured"
DATASETAUXDATA GridLevel="TODO_GridLevel"
DATASETAUXDATA Institution="ONERA"
DATASETAUXDATA Mach="0.73"
DATASETAUXDATA Name="F. Sartor"
DATASETAUXDATA Notes=" "
DATASETAUXDATA ParticipantID="009"
DATASETAUXDATA Re="3e+6"
DATASETAUXDATA SolverName="elsA"
DATASETAUXDATA SubmissionDate="2026-05"
DATASETAUXDATA Tstatic="271.0"
DATASETAUXDATA TurbulenceModel="SA"
ZONE T="009.33 elsA HeldenMesh Unstructured GRID LEVEL 2"
 STRANDID=2, SOLUTIONTIME=314008
 I=1070, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 AUXDATA GridLevel="2"
 DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01 2.300000000E-01
 2.300000000E-01 2.300000000E-01 2.298012951E-01 2.294820100E-01 2.289702304E-01
 2.284915305E-01 2.280446857E-01 2.276271179E-01 2.272365029E-01 2.268707500E-01
 2.265279463E-01 2.262063804E-01 2.259044919E-01 2.256208630E-01 2.253542021E-01
 2.251033300E-01 2.248671676E-01 2.246447258E-01 2.244361366E-01 2.242349073E-01
 2.240335592E-01 2.238320936E-01 2.236305119E-01 2.234288157E-01 2.232270063E-01
 2.230250851E-01 2.228220239E-01 2.226188402E-01 2.224159959E-01 2.222130309E-01
 2.220105142E-01 2.218078713E-01 2.216051039E-01 2.214022135E-01 2.211992019E-01
 2.209960705E-01 2.207928210E-01 2.205894546E-01 2.203859730E-01 2.201823775E-01
 2.199786694E-01 2.197748502E-01 2.195709211E-01 2.193668835E-01 2.191627387E-01
 2.189584879E-01 2.187541324E-01 2.185496734E-01 2.183451121E-01 2.181404498E-01
 2.179356877E-01 2.177308268E-01 2.175258686E-01 2.173208140E-01 2.171156643E-01
 2.169104207E-01 2.167050843E-01 2.164996563E-01 2.162941378E-01 2.160879483E-01
 2.158816647E-01 2.156752880E-01 2.154688193E-01 2.152622595E-01 2.150559518E-01
 2.148495545E-01 2.146430686E-01 2.144364952E-01 2.142300749E-01 2.140235656E-01
 2.138169687E-01 2.136102858E-01 2.134035183E-01 2.131966676E-01 2.129897351E-01
 2.127827222E-01 2.125756303E-01 2.123684606E-01 2.121612145E-01 2.119538934E-01
 2.117464984E-01 2.115390310E-01 2.113314923E-01 2.111238838E-01 2.109162065E-01
 2.107084618E-01 2.105006510E-01 2.102927753E-01 2.100848359E-01 2.098768341E-01
 2.096687711E-01 2.094606482E-01 2.092524667E-01 2.090442277E-01 2.088356868E-01
 2.086270891E-01 2.084184361E-01 2.082097290E-01 2.080009694E-01 2.077923747E-01
