#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "021.04"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "021"
DATASETAUXDATA SubmissionDate  = "May 2, 2025"
DATASETAUXDATA Name            = "Steve Lamberson"
DATASETAUXDATA Email           = "steven.e.lamberson2.ctr@mail.mil"
DATASETAUXDATA Institution     = "CREATE-AV"
DATASETAUXDATA SolverName      = "Kestrel 12.10"
DATASETAUXDATA BasicAlgorithm  = "URANS"
DATASETAUXDATA TurbulenceModel = "SA RC QCR"
DATASETAUXDATA GridId          = "Extruded mixed element Cadence grids"
DATASETAUXDATA Notes           = "Extruded in y direction"






ZONE T="021.04 - ALPHA 1.36 - GRID 3 - WING SECTION 1"
AUXDATA GridLevel       = "3"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3000000"
AUXDATA Alpha           = "1.36"
AUXDATA Tstatic         = "487.8 R"
AUXDATA CLtotal         = "0.46306209"
AUXDATA Eta             = "0.5"
AUXDATA Dt              = "0.000004774032583810218"
AUXDATA CtuStart        = "28.6442"
AUXDATA CtuAvg          = "19.0961"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-3.b8.ugrid"
 230.0000000000 -11.5000000000   0.5749310255   1.0000000000  -0.2444601357   0.0840087309   0.0004534879   0.0015452802
 229.9373474121 -11.5000000000   0.5871821642   0.9997276068  -0.2420918941   0.0759536028   0.0003411331   0.0011430035
 229.8715515137 -11.5000000000   0.6000472307   0.9994415045  -0.2353761792   0.0683796927   0.0003398180   0.0005727683
 229.8024749756 -11.5000000000   0.6135584712   0.9991412163  -0.2345913947   0.0653212219   0.0002537978   0.0005375224
 229.7299499512 -11.5000000000   0.6277502775   0.9988258481  -0.2341157347   0.0624979623   0.0002630444   0.0005098485
 229.6537933350 -11.5000000000   0.6426574588   0.9984947443  -0.2337614447   0.0598186627   0.0002752280   0.0004865738
 229.5738220215 -11.5000000000   0.6583141088   0.9981470704  -0.2333969474   0.0571585298   0.0002821184   0.0004669761
 229.4898681641 -11.5000000000   0.6747551560   0.9977820516  -0.2329842299   0.0545005389   0.0002820691   0.0004496639
 229.4017028809 -11.5000000000   0.6920164824   0.9973987341  -0.2325216681   0.0518419109   0.0002755575   0.0004330142
 229.3091430664 -11.5000000000   0.7101352811   0.9969962835  -0.2320263982   0.0491885617   0.0002636554   0.0004165903
 229.2119445801 -11.5000000000   0.7291520238   0.9965736866  -0.2315180004   0.0465481691   0.0002478484   0.0004005231
 229.1098785400 -11.5000000000   0.7491116524   0.9961299300  -0.2310121655   0.0439297035   0.0002297563   0.0003849190
 229.0027160645 -11.5000000000   0.7700616717   0.9956640005  -0.2305184752   0.0413429812   0.0002108824   0.0003696341
 228.8901824951 -11.5000000000   0.7920520902   0.9951747060  -0.2300384939   0.0387970209   0.0001923410   0.0003545305
 228.7720336914 -11.5000000000   0.8151357770   0.9946610332  -0.2295716405   0.0363008231   0.0001747746   0.0003396724
 228.6479797363 -11.5000000000   0.8393664956   0.9941216707  -0.2291139066   0.0338701792   0.0001584005   0.0003252773
 228.5177154541 -11.5000000000   0.8647994399   0.9935553074  -0.2286601365   0.0315220281   0.0001429570   0.0003115603
 228.3809356689 -11.5000000000   0.8914919496   0.9929605722  -0.2282111794   0.0292684808   0.0001279623   0.0002982765
 228.2373046875 -11.5000000000   0.9195037484   0.9923360944  -0.2277722657   0.0271168649   0.0001131091   0.0002844293
 228.0865020752 -11.5000000000   0.9488968849   0.9916804433  -0.2273479998   0.0250883140   0.0000983283   0.0002697956
 227.9281463623 -11.5000000000   0.9797371626   0.9909919500  -0.2269415557   0.0232160427   0.0000836362   0.0002546220
 227.7618713379 -11.5000000000   1.0120940208   0.9902690053  -0.2265589237   0.0215340294   0.0000691606   0.0002388904
 227.5872802734 -11.5000000000   1.0460402966   0.9895099401  -0.2262056172   0.0200786609   0.0000551859   0.0002236455
 227.4039459229 -11.5000000000   1.0816521645   0.9887127876  -0.2258855999   0.0188541450   0.0000420617   0.0002101214
 227.2114410400 -11.5000000000   1.1190087795   0.9878758192  -0.2256017327   0.0178534761   0.0000302907   0.0001982041
 227.0093078613 -11.5000000000   1.1581928730   0.9869970083  -0.2253483832   0.0170881115   0.0000203948   0.0001873106
 226.7970581055 -11.5000000000   1.1992906332   0.9860741496  -0.2251189053   0.0165487826   0.0000127163   0.0001774464
 226.5741729736 -11.5000000000   1.2423914671   0.9851050973  -0.2249050736   0.0161915794   0.0000075264   0.0001684848
 226.3401489258 -11.5000000000   1.2875885963   0.9840875864  -0.2246988565   0.0159806833   0.0000053056   0.0001602572
 226.0944061279 -11.5000000000   1.3349795341   0.9830191731  -0.2245014906   0.0158894062   0.0000060457   0.0001526422
 225.8363494873 -11.5000000000   1.3846678734   0.9818971753  -0.2243152112   0.0158816800   0.0000076989   0.0001454381
 225.5653839111 -11.5000000000   1.4367625713   0.9807190895  -0.2241346240   0.0159274973   0.0000091541   0.0001387311
 225.2808685303 -11.5000000000   1.4913778305   0.9794820547  -0.2239670753   0.0160045847   0.0000102864   0.0001327719
 224.9820861816 -11.5000000000   1.5486329794   0.9781829715  -0.2238098979   0.0160795338   0.0000109605   0.0001275028
