#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 FORCE AND MOMENT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged force and moment coefficients
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     EXAMPLE: 007.02
#
# 
#       NOMENCLATURE:
#         GRID_LEVEL:   Level of grid refinement (1-6)
#          GRID_SIZE:   Number of grid nodes or cells
#            GRIDFAC:   1/GRID_SIZE**2/3
#               MACH:   Freestream Mach Number
#                REY:   Chord-Based Reynolds Number
#              ALPHA:   Angle of Attack, deg
#                 CL:   Coefficient of Lift            (total) (L/(0.5*rho_inf*U_inf^2*A)  )              Provided to eight decimal points
#                 CD:   Coefficient of Drag            (total) (D/(0.5*rho_inf*U_inf^2*A)  )              Provided to nine  decimal points
#                 CM:   Coefficient of Pitching Moment (total) (M/(0.5*rho_inf*U_inf^2*A*c)) (+ nose-up)  Provided to eight decimal points
#              CD_PR:   Surface-Pressure Integrated Drag Coefficient
#              CD_SF:   Skin-Friction Integrated Drag Coefficient
#              *_TOT:   Total Configuration Force/Moment
#             *_TAIL:   Horizontal Tail Component Force/Moment
#             *_WING:   Wing Component Force/Moment
#              *_FUS:   Fuselage Component Force/Moment
#              *_NAC:   Nacelle Component Force/Moment
#               *_PY:   Pylon Component Force/Moment
#                CPU:   CPU (or GPU) hours used
#                 DT:   Time Step Per Iteration
#           CTUSTART:   Convective Time Unit at Which Averaging Began
#             CTUAVG:   Number of Convective Time Units in Time-Averaging Phase
#                Q/E:   Dynamic Pressure / Modulus of Elasticity
#
#     DECIMAL POINTS:   Please provide data in at least the number of decimal points listed below (?.???????? would have at least eight decimal points)
#
#      OPTIONAL DATA:   Enter -999 for any optional data you are not submitting
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "013.12"

# Column     1             2            3           4       5      6        7          8          9         10        11        12            
VARIABLES = "GRID_LEVEL"  "GRID_SIZE"  "GRID_FAC"  "MACH"  "REY"  "ALPHA"  "CL_AVG"   "CD_AVG"   "CM_AVG"  "CL_RMS"  "CD_RMS"  "CM_RMS"     

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "013"
DATASETAUXDATA SubmissionDate  = "2024-11-05"
DATASETAUXDATA Name            = "Hadar Ben-Gida"
DATASETAUXDATA Email           = "bengida@technion.ac.il"
DATASETAUXDATA Institution     = "Technion - Israel Institute of Technology"
DATASETAUXDATA SolverName      = "SU2 v8.0.1"
DATASETAUXDATA BasicAlgorithm  = "URANS"
DATASETAUXDATA TurbulenceModel = "SA-EDW-MC-QCR"
DATASETAUXDATA GridId          = "Cadence supplied Unstructured Grids & O-type home-made Structured Grids"
DATASETAUXDATA Notes           = ""


#-------------------------------------------------------------------------------
#  REQUIRED:  VEHICLE F&M
#  OPTIONAL:  INDIVIDUAL COMPONENT FORCES AND MOMENTS
#-------------------------------------------------------------------------------
ZONE T="013.12 GRID LEVEL 1"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "2.500000e-06"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1"
AUXDATA Misc            = "SA-EDWARDS-COMPRESSIBILITY-QCR, JST convective scheme with artificial dissipation coefficients (0.5,0.02)"
1 47187 1 0.73 3000000 3.00 0.89177877 0.03450314 -0.12124226 0.09534753 0.00614787 0.02466933
1 47187 1 0.73 3000000 3.10 0.87686712 0.03615664 -0.11959223 0.11713156 0.00720207 0.02852534
1 47187 1 0.73 3000000 3.25 0.86238553 0.03873558 -0.11823407 0.13984536 0.00835516 0.03192053
1 47187 1 0.73 3000000 3.40 0.85152393 0.04127136 -0.11713651 0.15755868 0.00936517 0.03429618
1 47187 1 0.73 3000000 3.50 0.84830492 0.04305861 -0.11704986 0.16698854 0.00998828 0.03545780
1 47187 1 0.73 3000000 3.60 0.84644092 0.04488815 -0.11704493 0.17478958 0.01046578 0.03619953
1 47187 1 0.73 3000000 3.90 0.85003998 0.05069192 -0.11814269 0.18783376 0.01146402 0.03647539


ZONE T="013.12 GRID LEVEL 2"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "2.500000e-06"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-2"
AUXDATA Misc            = "SA-EDWARDS-COMPRESSIBILITY-QCR, JST convective scheme with artificial dissipation coefficients (0.5,0.02)"
2 89616 1 0.73 3000000 3.00 0.91678593 0.03444529 -0.12411086 0.07384464 0.00543118 0.02073366
2 89616 1 0.73 3000000 3.10 0.90659647 0.03596822 -0.12215585 0.09125028 0.00656940 0.02464452
2 89616 1 0.73 3000000 3.25 0.89477692 0.03823778 -0.11981283 0.11075075 0.00787517 0.02859890
2 89616 1 0.73 3000000 3.40 0.88769344 0.04068077 -0.11848250 0.12630716 0.00892853 0.03133848
2 89616 1 0.73 3000000 3.50 0.88164933 0.04217869 -0.11730174 0.13530866 0.00957367 0.03278791
2 89616 1 0.73 3000000 3.60 0.87720387 0.04383141 -0.11652485 0.14366723 0.01016339 0.03399682
2 89616 1 0.73 3000000 3.90 0.86784752 0.04879841 -0.11517744 0.16448459 0.01167472 0.03639397


ZONE T="013.12 GRID LEVEL 1"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "2.500000e-06"
AUXDATA GridFileName    = "O-type_structured_grid_own_made-Level-1"
AUXDATA Misc            = "SA-EDWARDS-COMPRESSIBILITY-QCR, JST convective scheme with artificial dissipation coefficients (0.5,0.02)"
1 48360 1 0.73 3000000 3.00 0.95800692 0.03653425 -0.13331945 0.03307324 0.00280941 0.01002355
1 48360 1 0.73 3000000 3.10 0.94338783 0.03783869 -0.13017786 0.06166223 0.00504569 0.01798461
1 48360 1 0.73 3000000 3.25 0.92894789 0.04013058 -0.12724242 0.08856206 0.00696577 0.02441851
1 48360 1 0.73 3000000 3.40 0.91833406 0.04254658 -0.12532047 0.10941891 0.00841683 0.02874092
1 48360 1 0.73 3000000 3.50 0.91200223 0.04417781 -0.12427095 0.12135028 0.00923798 0.03093016
1 48360 1 0.73 3000000 3.60 0.90592792 0.04582326 -0.12333507 0.13238290 0.00998300 0.03276690
1 48360 1 0.73 3000000 3.90 0.93166582 0.04973313 -0.12000286 0.09495937 0.00817067 0.02444666


ZONE T="013.12 GRID LEVEL 2"
AUXDATA Tstatic         = "271 K"
AUXDATA Deltat          = "2.500000e-06"
AUXDATA GridFileName    = "O-type_structured_grid_own_made-Level-2"
AUXDATA Misc            = "SA-EDWARDS-COMPRESSIBILITY-QCR, JST convective scheme with artificial dissipation coefficients (0.5,0.02)"
2 179200 1 0.73 3000000 3.00 0.95012835 0.03634688 -0.13180449 0.05782227 0.00477338 0.01699911
2 179200 1 0.73 3000000 3.10 0.94206133 0.03788454 -0.12996366 0.07470439 0.00603212 0.02125232
2 179200 1 0.73 3000000 3.25 0.93184779 0.04027295 -0.12773482 0.09498758 0.00752943 0.02588050
