#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.01"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "5th Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Symmetric boundary condition is applied "



ZONE T="014.01 - ALPHA 3 - GRID L3 - WING SECTION  1"
AUXDATA GridLevel       = "3"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.97632422"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-3.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.2298               -0.0115              -0.0005513           -0.99913043          0.0149032            0.00510176           0.00506854           -7.32e-06            -0.00058116         
0.229727             -0.0115              -0.00054288          -0.99881304          0.0208886            0.00480729           0.00477605           -7.13e-06            -0.00054706         
0.22987              -0.0115              -0.00055932          -0.99943478          0.00652541           0.00614885           0.00610877           -8.15e-06            -0.00070091         
0.229937             -0.0115              -0.00056696          -0.99972609          0.0258427            0.00960783           0.00954515           -8.14e-06            -0.00109561         
0.23                 -0.0115              -0.00057424          -1.0                 -0.232964            0.00203632           0.00156015           -3.32e-06            0.00130864          
0.23                 -0.0115              -0.00051376          -1.0                 -0.0251414           0.00749195           0.0                  -1.57e-05            -0.00749193         
0.23                 -0.0115              -0.00045328          -1.0                 -0.0236199           0.00391608           0.0                  -1.85e-05            -0.00391604         
0.23                 -0.0115              -0.00039279          -1.0                 -0.0160273           0.00166754           0.0                  -1.39e-05            -0.00166748         
0.23                 -0.0115              -0.00033231          -1.0                 -0.0151643           0.00085178           0.0                  -1.26e-05            -0.00085169         
0.23                 -0.0115              -0.00027183          -1.0                 -0.0138859           0.00063273           0.0                  -1.17e-05            -0.00063262         
0.23                 -0.0115              -0.00021134          -1.0                 -0.0128396           0.00052342           0.0                  -1.14e-05            -0.0005233          
0.23                 -0.0115              -0.00015086          -1.0                 -0.0119942           0.00045286           0.0                  -1.12e-05            -0.00045272         
0.23                 -0.0115              -9.04e-05            -1.0                 -0.011316            0.00039872           0.0                  -1.11e-05            -0.00039856         
0.23                 -0.0115              -2.99e-05            -1.0                 -0.0107438           0.00035244           0.0                  -1.09e-05            -0.00035227         
0.23                 -0.0115              3.06e-05             -1.0                 -0.0102742           0.00031023           0.0                  -1.08e-05            -0.00031005         
0.23                 -0.0115              9.11e-05             -1.0                 -0.00989151          0.00027168           0.0                  -1.06e-05            -0.00027147         
0.23                 -0.0115              0.00015155           -1.0                 -0.00957773          0.00023688           0.0                  -1.05e-05            -0.00023665         
0.23                 -0.0115              0.00021204           -1.0                 -0.00932132          0.00020624           0.0                  -1.03e-05            -0.00020598         
0.23                 -0.0115              0.00027252           -1.0                 -0.0091098           0.0001808            0.0                  -1.01e-05            -0.00018052         
0.23                 -0.0115              0.000333             -1.0                 -0.00893698          0.00016317           0.0                  -9.99e-06            -0.00016286         
0.23                 -0.0115              0.00039348           -1.0                 -0.00877072          0.00015393           0.0                  -9.88e-06            -0.00015361         
0.23                 -0.0115              0.00045397           -1.0                 -0.00860993          0.00014241           0.0                  -9.86e-06            -0.00014207         
0.23                 -0.0115              0.00051445           -1.0                 -0.00965901          0.0002334            0.0                  -1e-05               -0.00023318         
0.23                 -0.0115              0.00057493           -1.0                 -0.00505796          0.00016684           0.00010881           -6.64e-06            -0.00012631         
0.229937             -0.0115              0.00058718           -0.99972609          -0.00655354          0.00011912           -0.00011621          -1.3e-05             2.27e-05            
0.229872             -0.0115              0.00060005           -0.99944348          -0.0078898           0.00015032           -0.00014711          -1.12e-05            2.88e-05            
0.229802             -0.0115              0.00061356           -0.99913913          -0.00815123          0.0001462            -0.00014308          -1.1e-05             2.8e-05             
0.22973              -0.0115              0.00062775           -0.99882609          -0.00848181          0.00016396           -0.00016055          -1.09e-05            3.14e-05            
0.229654             -0.0115              0.00064266           -0.99849565          -0.00882903          0.00018172           -0.00017802          -1.09e-05            3.49e-05            
0.229574             -0.0115              0.00065831           -0.99814783          -0.00918787          0.00019441           -0.00019049          -1.09e-05            3.73e-05            
0.22949              -0.0115              0.00067476           -0.99778261          -0.00955794          0.0002034            -0.00019932          -1.09e-05            3.9e-05             
0.229402             -0.0115              0.00069202           -0.9974              -0.00993674          0.00020999           -0.0002058           -1.09e-05            4.03e-05            
0.229309             -0.0115              0.00071014           -0.99699565          -0.0103238           0.000215             -0.00021072          -1.1e-05             4.12e-05            
0.229212             -0.0115              0.00072915           -0.99657391          -0.0107195           0.00021891           -0.00021457          -1.1e-05             4.2e-05             
0.22911              -0.0115              0.00074911           -0.99613043          -0.0111239           0.00022207           -0.00021767          -1.11e-05            4.26e-05            
0.229003             -0.0115              0.00077006           -0.99566522          -0.0115379           0.00022466           -0.00022022          -1.11e-05            4.3e-05             
0.22889              -0.0115              0.00079205           -0.99517391          -0.0119618           0.00022679           -0.00022231          -1.12e-05            4.34e-05            
0.228772             -0.0115              0.00081514           -0.99466087          -0.0123965           0.00022855           -0.00022404          -1.12e-05            4.38e-05            
0.228648             -0.0115              0.00083937           -0.99412174          -0.0128424           0.00022997           -0.00022543          -1.13e-05            4.4e-05             
0.228518             -0.0115              0.0008648            -0.99355652          -0.0132999           0.00023105           -0.0002265           -1.13e-05            4.42e-05            
0.228381             -0.0115              0.00089149           -0.99296087          -0.0137695           0.00023183           -0.00022726          -1.13e-05            4.43e-05            
0.228237             -0.0115              0.0009195            -0.99233478          -0.0142519           0.00023231           -0.00022774          -1.14e-05            4.44e-05            
0.228087             -0.0115              0.0009489            -0.99168261          -0.0147479           0.00023249           -0.00022793          -1.14e-05            4.44e-05            
0.227928             -0.0115              0.00097974           -0.9909913           -0.015258            0.0002324            -0.00022784          -1.15e-05            4.44e-05            
0.227762             -0.0115              0.00101209           -0.99026957          -0.0157828           0.00023214           -0.00022759          -1.15e-05            4.43e-05            
0.227587             -0.0115              0.00104604           -0.9895087           -0.0163232           0.00023176           -0.00022722          -1.15e-05            4.42e-05            
0.227404             -0.0115              0.00108165           -0.98871304          -0.0168806           0.00023124           -0.00022672          -1.15e-05            4.4e-05             
0.227211             -0.0115              0.00111901           -0.98787391          -0.0174553           0.00023088           -0.00022638          -1.16e-05            4.39e-05            
0.227009             -0.0115              0.00115819           -0.98699565          -0.0180605           0.00023032           -0.00022583          -1.16e-05            4.38e-05            
0.226797             -0.0115              0.00119929           -0.98607391          -0.0186815           0.00022947           -0.000225            -1.15e-05            4.35e-05            
0.226574             -0.0115              0.00124239           -0.98510435          -0.0193215           0.0002287            -0.00022426          -1.15e-05            4.33e-05            
0.22634              -0.0115              0.00128759           -0.98408696          -0.0199883           0.0002281            -0.00022368          -1.15e-05            4.32e-05            
0.226094             -0.0115              0.00133498           -0.98301739          -0.0206939           0.00022728           -0.00022289          -1.15e-05            4.29e-05            
0.225836             -0.0115              0.00138467           -0.98189565          -0.0214218           0.00022623           -0.00022187          -1.15e-05            4.27e-05            
0.225565             -0.0115              0.00143676           -0.98071739          -0.0221801           0.00022528           -0.00022095          -1.15e-05            4.24e-05            
0.225281             -0.0115              0.00149138           -0.97948261          -0.0229746           0.00022436           -0.00022006          -1.14e-05            4.22e-05            
0.224982             -0.0115              0.00154863           -0.97818261          -0.0238069           0.00022341           -0.00021914          -1.14e-05            4.2e-05             
0.224668             -0.0115              0.00160865           -0.97681739          -0.0246796           0.00022244           -0.00021821          -1.13e-05            4.17e-05            
0.224339             -0.0115              0.00167156           -0.97538696          -0.0255953           0.00022146           -0.00021725          -1.13e-05            4.14e-05            
0.223993             -0.0115              0.00173749           -0.97388261          -0.0265571           0.00022044           -0.00021627          -1.12e-05            4.12e-05            
0.22363              -0.0115              0.00180657           -0.97230435          -0.0275685           0.00021938           -0.00021524          -1.11e-05            4.09e-05            
0.223248             -0.0115              0.00187896           -0.97064348          -0.0286325           0.00021826           -0.00021416          -1.1e-05             4.06e-05            
0.222848             -0.0115              0.00195481           -0.96890435          -0.029753            0.00021708           -0.00021303          -1.09e-05            4.03e-05            
0.222427             -0.0115              0.00203428           -0.96707391          -0.0309338           0.00021584           -0.00021183          -1.08e-05            4e-05               
