#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "024.01"
# Column       1     2     3     4       5      6      7       8       9        
VARIABLES =   "X"   "Y"   "Z"    "CP"   "CF"   "CFX"   "CFY"   "CFZ"     "XoC"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "024"
DATASETAUXDATA SubmissionDate  = "31/10/2024"
DATASETAUXDATA Name            = "Daniel Nash"
DATASETAUXDATA Email           = "d.j.nash@liverpool.ac.uk"
DATASETAUXDATA Institution     = "University of Liverpool"
DATASETAUXDATA SolverName      = "TAU 2018.1.0"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA-neg"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Any thing else you would like to add"


ZONE T="024.01 - Alpha 1.36 - Grid Level 2 - WING SECTION  1"
AUXDATA GridLevel       = "2"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3000000"
AUXDATA Alpha           = "1.36"
AUXDATA Tstatic         = "273.15"
AUXDATA CLtotal         = " 0.77458642373"
AUXDATA Eta             = "0.5"
AUXDATA Dt              = "Time step per iteration (optional)"
AUXDATA CtuStart        = "Convective Time Unit at Which Averaging Started"
AUXDATA CtuAvg          = "Number of Convective Time Units in Time-Averaging Phase"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-2"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=1086, Elements=543, ZONETYPE=FEQuadrilateral
 DATAPACKING=BLOCK
 DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
 1.350000000000E+02 1.345459937123E+02 1.340919655370E+02 1.336379159110E+02
 1.331838451706E+02 1.327297537838E+02 1.322756421910E+02 1.318215108303E+02
 1.313673601321E+02 1.309131905186E+02 1.304590024115E+02 1.300047962462E+02
 1.295505723305E+02 1.290963309266E+02 1.286420726133E+02 1.281877974554E+02
 1.277335058388E+02 1.272791981136E+02 1.268248746098E+02 1.263705356775E+02
 1.259161816555E+02 1.254618129721E+02 1.250074299036E+02 1.245530328189E+02
 1.240986221043E+02 1.236441980179E+02 1.231897608990E+02 1.227353110336E+02
 1.222808487349E+02 1.218263742623E+02 1.213718879763E+02 1.209173901063E+02
 1.204628809773E+02 1.200083608402E+02 1.195538300196E+02 1.190992887770E+02
 1.186447373822E+02 1.181901761256E+02 1.177356052677E+02 1.172810250691E+02
 1.168264357817E+02 1.163718376797E+02 1.159172309860E+02 1.154626159929E+02
 1.150079929208E+02 1.145533620581E+02 1.140987236202E+02 1.136440778851E+02
 1.131894250985E+02 1.127347655410E+02 1.122800993272E+02 1.118254268026E+02
 1.113707481341E+02 1.109160635904E+02 1.104613733282E+02 1.100066775857E+02
 1.095519765884E+02 1.090972705462E+02 1.086425596908E+02 1.081878442378E+02
 1.077331244495E+02 1.072784004912E+02 1.068236726005E+02 1.063689409806E+02
 1.059142058061E+02 1.054594672981E+02 1.050047256493E+02 1.045499810524E+02
