#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SPECTRAL CONTENT SUBMITTAL FORM (Version 6 - February 10, 2025)
#
# Data Set Title 027.03: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     EXAMPLE: 007.02
# 
#       NOMENCLATURE:
#               FREQ:   Frequency (Hz)
#                PSD:   Pressure power spectral content
#			<p(Pa^2)> for ONERA OAT15A and <Cp[1/Hz]> for JAXA CRMWB/CRMWBNP
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       JAXA CRMWB   (Common Research Model Wing/Body)
#                       JAXA CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#   DATA LOCATIONS: 	ONERA OAT15A:	  	provide spectral content at x/c=0.45 (Kulite 7)
# 			JAXA CRMWB/CRMWBNP: 	x/c=0.3040 (section E, eta=0.5) and x/c=0.7903 (section E, eta=0.5).
# 					 	x/c=0.3097 (section F, eta=0.6) and x/c=0.7677 (section F, eta=0.6).
#				  		Refer to https://cfdws.chofu.jaxa.jp/apc/dpw/upc.html
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "027.03"
# Column       1       2
VARIABLES =   "FREQ"  "PSD"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "027.03"
DATASETAUXDATA SubmissionDate  = "18/03/2025"
DATASETAUXDATA Name            = "Michael Candon, Truman Gerner"
DATASETAUXDATA Email           = "candon.michael@rmit.edu.au, s4134495@student.rmit.edu.au"
DATASETAUXDATA Institution     = "RMIT"
DATASETAUXDATA SolverName      = "Fluent 2024 R2"
DATASETAUXDATA BasicAlgorithm  = "URANS"
DATASETAUXDATA TurbulenceModel = "SST-kw (with curvature correction)"
DATASETAUXDATA GridId          = "Multiblock hexahedral"
DATASETAUXDATA Notes           = "For GRID_SIZE: L3, ALPHA: 3.10 - Buffet was not observed, however, simulation was not run for long enough to achieve a completely stable flowfield.
			          For GRID_SIZE: L2, ALPHA: 3.10 - Buffet was observed, but the simulation was not run for long enough to achieve a stable flow LCO.
				  We recorded our surface data every 10 physical time-steps. The dt, CTU-start, and CTU-average are given based on our flow-field sampling frequency, not the physical time-step used in the CFD simulation which is an order of magnitude smaller."


ZONE T="027.03 - ALPHA 3.10 - x/c = 0.45"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.7300"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "3.10"
AUXDATA x/c     	= "0.45"
AUXDATA Section         = ""
AUXDATA Dt              = "5e-05"
AUXDATA CtuStart        = "235.66490"
AUXDATA CtuAvg          = "3000"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Structured_Level-1"

	0.00  0.000000000000000
	13.33  0.000000033133608
	26.67  0.000000022783576
	40.00  0.000000055461644
	53.33  0.000000225549367
	66.67  0.001530055799561
	80.00  0.000000426120987
	93.33  0.000000124580195
	106.67  0.000000106630334
	120.00  0.000000225427340
	133.33  0.000213737104665
	146.67  0.000000147819510
	160.00  0.000000028056145
	173.33  0.000000010474834
	186.67  0.000000002298857
	200.00  0.000002861140619
	213.33  0.000000029658349
	226.67  0.000000014574642
	240.00  0.000000015373202
	253.33  0.000000041088020
	266.67  0.000014824507183
	280.00  0.000000066087925
	293.33  0.000000018554667
	306.67  0.000000012802599
	320.00  0.000000013597587
	333.33  0.000000574355377
	346.67  0.000000001014687
	360.00  0.000000001246743
	373.33  0.000000001312753
	386.67  0.000000002750660
	400.00  0.000000639912331
	413.33  0.000000012009597
	426.67  0.000000004923204
	440.00  0.000000004370193
	453.33  0.000000005998698
	466.67  0.000000219609155
	480.00  0.000000001152356
	493.33  0.000000000587704
	506.67  0.000000000657170
	520.00  0.000000000549326
	533.33  0.000000006774200
	546.67  0.000000001411251
	560.00  0.000000001038063
	573.33  0.000000001109302
	586.67  0.000000001571245
	600.00  0.000000028122593
	613.33  0.000000000390849
	626.67  0.000000000314321
	640.00  0.000000000399273
	653.33  0.000000000418778
	666.67  0.000000001367434
	680.00  0.000000000288565
	693.33  0.000000000338400
	706.67  0.000000000355869
	720.00  0.000000000454697
	733.33  0.000000002238984
	746.67  0.000000000211052
	760.00  0.000000000240034
	773.33  0.000000000250938
	786.67  0.000000000269652
	800.00  0.000000000938637
	813.33  0.000000000178494
	826.67  0.000000000197316
	840.00  0.000000000193397
	853.33  0.000000000187978
	866.67  0.000000000117023
	880.00  0.000000000238090
	893.33  0.000000000210978
	906.67  0.000000000193140
	920.00  0.000000000200013
	933.33  0.000000000228782
	946.67  0.000000000158420
	960.00  0.000000000162206
	973.33  0.000000000157039
	986.67  0.000000000137466
	1000.00  0.000000000081256
	1013.33  0.000000000213198
	1026.67  0.000000000162768
	1040.00  0.000000000154953
	1053.33  0.000000000166816
	1066.67  0.000000000192622
	1080.00  0.000000000163499
	1093.33  0.000000000161364
	1106.67  0.000000000149250
	1120.00  0.000000000144179
	1133.33  0.000000000157969
	1146.67  0.000000000132204
	1160.00  0.000000000118494
	1173.33  0.000000000121959
	1186.67  0.000000000140015
	1200.00  0.000000000117949
	1213.33  0.000000000114908
	1226.67  0.000000000120670
	1240.00  0.000000000112808
	1253.33  0.000000000114926
	1266.67  0.000000000112930
	1280.00  0.000000000110478
	1293.33  0.000000000093126
	1306.67  0.000000000101705
	1320.00  0.000000000103924
	1333.33  0.000000000115270
	1346.67  0.000000000100449
	1360.00  0.000000000099384
	1373.33  0.000000000092109
	1386.67  0.000000000097243
	1400.00  0.000000000118946
	1413.33  0.000000000080523
	1426.67  0.000000000075310
	1440.00  0.000000000082294
	1453.33  0.000000000080874
	1466.67  0.000000000078960
	1480.00  0.000000000093529
	1493.33  0.000000000081185
	1506.67  0.000000000081276
	1520.00  0.000000000088717
	1533.33  0.000000000118090
	1546.67  0.000000000061580
	1560.00  0.000000000064063
	1573.33  0.000000000067459
	1586.67  0.000000000062893
	1600.00  0.000000000082143
	1613.33  0.000000000062499
	1626.67  0.000000000061023
	1640.00  0.000000000071114
	1653.33  0.000000000065585
	1666.67  0.000000000075633
	1680.00  0.000000000059521
	1693.33  0.000000000057293
	1706.67  0.000000000060663
	1720.00  0.000000000063222
	1733.33  0.000000000071022
	1746.67  0.000000000046429
	1760.00  0.000000000052844
	1773.33  0.000000000054423
	1786.67  0.000000000051102
	1800.00  0.000000000070339
	1813.33  0.000000000056713
	1826.67  0.000000000049290
	1840.00  0.000000000051608
	1853.33  0.000000000060936
	1866.67  0.000000000047351
	1880.00  0.000000000039479
	1893.33  0.000000000045392
	1906.67  0.000000000047031
	1920.00  0.000000000042789
	1933.33  0.000000000042696
	1946.67  0.000000000059455
	1960.00  0.000000000048030
	1973.33  0.000000000046163
	1986.67  0.000000000049339
	2000.00  0.000000000047998
	2013.33  0.000000000056516
	2026.67  0.000000000051247
	2040.00  0.000000000050572
	2053.33  0.000000000050768
	2066.67  0.000000000066916
	2080.00  0.000000000042844
	2093.33  0.000000000037683
	2106.67  0.000000000037831
	2120.00  0.000000000037828
	2133.33  0.000000000050814
	2146.67  0.000000000023198
	2160.00  0.000000000037781
	2173.33  0.000000000037479
	2186.67  0.000000000035032
	2200.00  0.000000000034096
	2213.33  0.000000000041312
	2226.67  0.000000000040174
	2240.00  0.000000000036519
	2253.33  0.000000000038102
	2266.67  0.000000000042451
	2280.00  0.000000000044796
	2293.33  0.000000000041518
	2306.67  0.000000000042780
	2320.00  0.000000000046252
	2333.33  0.000000000064211
	2346.67  0.000000000032677
	2360.00  0.000000000030505
	2373.33  0.000000000031274
	2386.67  0.000000000038385
	2400.00  0.000000000065152
	2413.33  0.000000000015193
	2426.67  0.000000000028546
	2440.00  0.000000000029259
	2453.33  0.000000000031214
	2466.67  0.000000000036514
	2480.00  0.000000000029518
	2493.33  0.000000000024337
	2506.67  0.000000000028877
	2520.00  0.000000000031272
	2533.33  0.000000000048924
	2546.67  0.000000000015535
	2560.00  0.000000000029607
	2573.33  0.000000000026116
	2586.67  0.000000000032959
	2600.00  0.000000000042137
	2613.33  0.000000000024793
	2626.67  0.000000000017241
	2640.00  0.000000000022214
	2653.33  0.000000000027769
	2666.67  0.000000000041373
	2680.00  0.000000000012713
	2693.33  0.000000000023312
	2706.67  0.000000000019910
	2720.00  0.000000000025348
	2733.33  0.000000000032846
	2746.67  0.000000000023511
	2760.00  0.000000000017372
	2773.33  0.000000000021194
	2786.67  0.000000000023866
	2800.00  0.000000000036022
	2813.33  0.000000000036491
	2826.67  0.000000000021263
	2840.00  0.000000000019441
	2853.33  0.000000000018080
	2866.67  0.000000000029474
	2880.00  0.000000000030683
	2893.33  0.000000000022794
	2906.67  0.000000000022977
	2920.00  0.000000000023030
	2933.33  0.000000000022297
	2946.67  0.000000000042314
	2960.00  0.000000000019337
	2973.33  0.000000000020305
	2986.67  0.000000000018308
	3000.00  0.000000000025282
	3013.33  0.000000000031073
	3026.67  0.000000000019473
	3040.00  0.000000000020887
	3053.33  0.000000000021554
	3066.67  0.000000000016115
	3080.00  0.000000000033533
	3093.33  0.000000000018754
	3106.67  0.000000000018080
	3120.00  0.000000000018041
	3133.33  0.000000000018302
	3146.67  0.000000000031215
	3160.00  0.000000000017180
	3173.33  0.000000000018266
	3186.67  0.000000000020019
	3200.00  0.000000000015346
	3213.33  0.000000000022839
	3226.67  0.000000000017279
	3240.00  0.000000000016832
	3253.33  0.000000000016505
	3266.67  0.000000000017362
	3280.00  0.000000000018049
	3293.33  0.000000000014917
	3306.67  0.000000000015915
