#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#                 CP:   Coefficient of pressure
#                 CF:   Skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#        CFX,CFY,CFZ:   Components of skin-friction coefficient at wall
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "014.01"
# Column       1     2     3     4       5      6      7       8       9
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP"   "CF"   "CFX"   "CFY"   "CFZ"

#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "014"
DATASETAUXDATA SubmissionDate  = "3rd Nov,2024"
DATASETAUXDATA Name            = "Kartik Venkatraman, Adithya Udupa"
DATASETAUXDATA Email           = "kartik@iisc.ac.in, adithyaudupa3@gmail.com"
DATASETAUXDATA Institution     = "Indian Institute of Science"
DATASETAUXDATA SolverName      = "SU2 8.0.1 'Harrier'"
DATASETAUXDATA BasicAlgorithm  = "RANS"
DATASETAUXDATA TurbulenceModel = "SA Edwards"
DATASETAUXDATA GridId          = "Hybrid"
DATASETAUXDATA Notes           = "Periodic boundary condition is applied "



ZONE T="014.01 - ALPHA 1.36 - GRID L1 - WING SECTION  1"
AUXDATA GridLevel       = "1"
AUXDATA Mach            = "0.73"
AUXDATA Re              = "3e6"
AUXDATA Alpha           = "1.36"
AUXDATA Tstatic         = "-999"
AUXDATA CLtotal         = "0.7725809"
AUXDATA Eta             = "-999"
AUXDATA Dt              = "-999"
AUXDATA CtuStart        = "-999"
AUXDATA CtuAvg          = "-999"
AUXDATA GridFileName    = "ONERA-OAT15A_230mmChord_780mmSpan_upZ_2024_09_05_Unstructured_Level-1.cgns"
X                    Y                    Z                    X/C                  CP                   CF                   CFX                  CFY                  CFZ                 
0.23                 -0.0115              0.00044724           -1.0                 0.0823769            0.00140867           0.0                  0.0                  0.00140867          
0.23                 -0.0115              0.00031956           -1.0                 0.0913614            0.00115285           0.0                  0.0                  0.00115285          
0.23                 -0.0115              0.00057493           -1.0                 0.0553814            0.00068023           0.00043238           0.0                  -0.00052512         
0.229875             -0.0115              0.00059944           -0.99945652          0.107815             0.00151872           0.00149048           -0.0                 -0.00029151         
0.228788             -0.0115              -0.00043696          -0.99473043          0.172365             0.00315086           0.0031317            0.0                  -0.00034693         
0.228601             -0.0115              -0.00041627          -0.99391739          0.178718             0.00307353           0.00305514           -0.0                 -0.00033571         
0.228967             -0.0115              -0.00045682          -0.9955087           0.165657             0.00324497           0.00322494           0.0                  -0.00036004         
0.229137             -0.0115              -0.00047588          -0.99624783          0.158149             0.0033537            0.0033327            0.0                  -0.00037472         
0.229299             -0.0115              -0.00049415          -0.99695217          0.150523             0.00348207           0.00345999           0.0                  -0.00039152         
0.229453             -0.0115              -0.00051165          -0.99762174          0.139666             0.00356913           0.00354625           0.0                  -0.00040346         
0.2296               -0.0115              -0.0005284           -0.99826087          0.133816             0.00385363           0.00382872           -0.0                 -0.00043739         
0.22974              -0.0115              -0.00054441          -0.99886957          0.123622             0.00479248           0.00476134           -0.0                 -0.00054541         
0.229873             -0.0115              -0.00055968          -0.99944783          0.148153             0.00754481           0.00749564           0.0                  -0.00085994         
0.23                 -0.0115              -0.00057424          -1.0                 -0.164138            0.00157928           0.00117868           0.0                  0.00105112          
0.23                 -0.0115              -0.00044656          -1.0                 0.0688712            0.00655338           0.0                  0.0                  -0.00655338         
0.23                 -0.0115              -0.00031887          -1.0                 0.0854079            0.00378345           0.0                  -0.0                 -0.00378345         
0.23                 -0.0115              -0.00019118          -1.0                 0.106633             0.00138146           0.0                  -0.0                 -0.00138146         
0.23                 -0.0115              -6.35e-05            -1.0                 0.106134             7.2e-05              0.0                  -0.0                 -7.2e-05            
0.00018324           -0.0115              -0.00096782          -0.0007967           1.12723              0.00176306           0.00066714           0.0                  -0.00163197         
9.64e-05             -0.0115              -0.00071628          -0.00041913          1.14065              0.00041566           0.00011501           0.0                  -0.00039943         
0.00030249           -0.0115              -0.00122052          -0.00131519          1.09465              0.00265235           0.00125724           0.0                  -0.00233544         
0.00045442           -0.0115              -0.00147156          -0.00197573          1.04734              0.00340134           0.00189903           0.0                  -0.00282185         
0.00063798           -0.0115              -0.00171903          -0.00277381          0.992021             0.0038994            0.0024536            0.0                  -0.00303071         
0.10121              -0.0115              0.0155877            -0.44004348          -1.14473             0.00455254           0.00455249           -0.0                 -2.13e-05           
0.1019               -0.0115              0.0155841            -0.44304348          -1.14485             0.00454823           0.00454816           -0.0                 -2.56e-05           
0.10052              -0.0115              0.0155906            -0.43704348          -1.14458             0.00455695           0.00455692           -0.0                 -1.69e-05           
0.0998299            -0.0115              0.0155928            -0.43404304          -1.14447             0.0045613            0.00456128           0.0                  -1.26e-05           
0.0991399            -0.0115              0.0155944            -0.43104304          -1.14432             0.00456554           0.00456553           0.0                  -8.22e-06           
0.0984499            -0.0115              0.0155953            -0.42804304          -1.14422             0.00456996           0.00456995           0.0                  -3.87e-06           
0.09776              -0.0115              0.0155955            -0.42504348          -1.14412             0.00457428           0.00457428           -0.0                 4.8e-07             
0.09707              -0.0115              0.0155951            -0.42204348          -1.14403             0.00457864           0.00457864           0.0                  4.83e-06            
0.09638              -0.0115              0.0155941            -0.41904348          -1.14392             0.00458302           0.00458301           0.0                  9.18e-06            
0.09569              -0.0115              0.0155924            -0.41604348          -1.14385             0.00458748           0.00458746           0.0                  1.35e-05            
0.095                -0.0115              0.01559              -0.41304348          -1.14377             0.00459275           0.00459272           0.0                  1.79e-05            
0.09431              -0.0115              0.015587             -0.41004348          -1.14367             0.0045978            0.00459774           0.0                  2.24e-05            
0.0935855            -0.0115              0.0155831            -0.40689348          -1.14355             0.00460205           0.00460197           0.0                  2.69e-05            
